_id,Mechanism of Action,References,Creation Date,Update Date
745,"Methamphetamine enters the brain and triggers a cascading release of norepinephrine, dopamine and serotonin. To a lesser extent methamphetamine acts as a dopaminergic and adrenergic reuptake inhibitor and in high concentrations as a monamine oxidase inhibitor (MAOI). The mechanism of action involved in producing the beneficial behavioral changes seen in hyperkinetic children receiving methamphetamine is unknown.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:37:46 UTC,2014-09-04 16:22:03 UTC
746,"Prazepam is believed to stimulate GABA receptors in the ascending reticular activating system. Since GABA is inhibitory, receptor stimulation increases inhibition and blocks both cortical and limbic arousal following stimulation of the brain stem reticular formation.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:37:47 UTC,2014-09-04 16:05:45 UTC
747,"Cinolazepam binds to central benzodiazepine receptors which interact allosterically with GABA receptors. This potentiates the effects of the inhibitory neurotransmitter GABA, increasing the inhibition of the ascending reticular activating system and blocking the cortical and limbic arousal that occurs following stimulation of the reticular pathways.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:37:47 UTC,2014-09-04 16:22:07 UTC
748,"Nitrazepam belongs to a group of medicines called benzodiazepines. It acts on benzodiazepine receptors in the brain which are associated with the GABA receptors causing an enhanced binding of GABA (gamma amino butyric acid) to GABAA receptors. GABA is a major inhibitory neurotransmitter in the brain, involved in inducing sleepiness, muscular relaxation and control of anxiety and fits, and slows down the central nervous system. The anticonvulsant properties of nitrazepam and other benzodiazepines may be in part or entirely due to binding to voltage-dependent sodium channels rather than benzodiazepine receptors. Sustained repetitive firing seems to be limited by benzodiazepines effect of slowing recovery of sodium channels from inactivation.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:37:47 UTC,2014-09-04 16:05:45 UTC
749,Antihistamines such as phenindamine appear to compete with histamine for histamine H1- receptor sites on effector cells. The antihistamines antagonize those pharmacological effects of histamine which are mediated through activation of H1- receptor sites and thereby reduce the intensity of allergic reactions and tissue injury response involving histamine release.,,2009-07-22 22:37:47 UTC,2014-09-04 16:22:21 UTC
750,"The precise mechanism of calcipotriol in remitting psoriasis is not well-understood. However, it has been shown to have comparable affinity with calcitriol for the Vitamin D receptor, while being less than 1% as active as the calcitriol in regulating calcium metabolism. The Vitamin D receptor (VDR) belongs to the steroid/thyroid receptor superfamily, and is found on the cells of many different tissues including the thyroid, bone, kindney, and T cells of the immune system. T cells are known to play a role in psoriasis, and it is thought that the binding of calcipotriol to the VDR modulates the T cells gene transcription of cell differentiation and proliferation related genes.","A8184 - Thacher SM, Vasudevan J, Tsang KY, Nagpal S, Chandraratna RA: New dermatological agents for the treatment of psoriasis. J Med Chem. 2001 Feb 1;44(3):281-97. (11462969)",2009-07-22 22:37:47 UTC,2014-09-04 16:21:45 UTC
751,"Estrogens diffuse into their target cells and interact with a protein receptor. Target cells include the female reproductive tract, the mammary gland, the hypothalamus, and the pituitary. Estrogens increase the hepatic synthesis of sex hormone binding globulin (SHBG), thyroid-binding globulin (TBG), and other serum proteins and suppress follicle-stimulating hormone (FSH) from the anterior pituitary. The combination of an estrogen with a progestin suppresses the hypothalamic-pituitary system, decreasing the secretion of gonadotropin-releasing hormone (GnRH).",,2009-07-22 22:37:48 UTC,2014-09-04 15:56:48 UTC
752,Suppresses the cough reflex by a direct effect on the cough center in the medulla of the brain.,"A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)",2009-07-22 22:37:48 UTC,2014-09-04 16:22:21 UTC
753,"Bepotastine has three primary mechanisms of action. It is a non-sedating, selective antagonist of the histamine 1 (H1) receptor, it has a stabilizing effect on mast cells, and it suppresses the migration of eosinophils into inflamed tissues.","A2434 - Andoh T, Kuraishi Y: Suppression by bepotastine besilate of substance P-induced itch-associated responses through the inhibition of the leukotriene B4 action in mice. Eur J Pharmacol. 2006 Oct 10;547(1-3):59-64. Epub 2006 Jul 25. (16914135)",2009-07-22 22:37:49 UTC,2014-09-04 16:22:21 UTC
754,"The exact mechanism of action is unknown, although one study has provided in vitro and in vivo evidence for a tachykinin NK1 receptor antagonist effect in the analgesic effects of vapreotide (A2442).","A2442 - Betoin F, Advenier C, Fardin V, Wilcox G, Lavarenne J, Eschalier A: In vitro and in vivo evidence for a tachykinin NK1 receptor antagonist effect of vapreotide, an analgesic cyclic analog of somatostatin. Eur J Pharmacol. 1995 Jun 12;279(2-3):241-9. (7556407)",2009-07-22 22:37:49 UTC,2014-09-04 16:23:02 UTC
755,"Abrin works by penetrating the cells of the body and inhibiting cell protein synthesis. By attaching to a carbohydrate chain on the cell surface, the abrin molecule anchors itself to the cell, is subsequently engulfed and enters the inner parts of the cell where it reacts with a ribosomal subunit and interferes with the normal protein synthesis process of the cell. Without these proteins, cells cannot survive. (L1224)",L1224 - Wikipedia. Abrin. Last Updated 24 April 2009.  (http://en.wikipedia.org/wiki/Abrin),2009-07-23 18:27:11 UTC,2014-09-04 16:18:49 UTC
756,"Anisatin acts as a GABA system antagonist. It binds non-competitively to the picrotoxinin site of the GABA receptor, prolonging the closed time of the receptor channel and reducing the probability of it opening. (A345)","A345 - Ikeda T, Ozoe Y, Okuyama E, Nagata K, Honda H, Shono T, Narahashi T: Anisatin modulation of the gamma-aminobutyric acid receptor-channel in rat dorsal root ganglion neurons. Br J Pharmacol. 1999 Aug;127(7):1567-76. (10455311)",2009-07-23 18:27:11 UTC,2014-09-04 16:05:45 UTC
757,"Brucine acts as an antagonist at the inhibitory or strychnine-sensitive glycine receptor, a ligand-gated chloride channel in the spinal cord and the brain. (L1230)","A9784 - Jensen AA, Gharagozloo P, Birdsall NJ, Zlotos DP: Pharmacological characterisation of strychnine and brucine analogues at glycine and alpha7 nicotinic acetylcholine receptors. Eur J Pharmacol. 2006 Jun 6;539(1-2):27-33. Epub 2006 May 9. (16687139)
L1230 - Wikipedia. Strychnine. Last Updated 20 July 2009.  (http://en.wikipedia.org/wiki/Strychnine)",2009-07-23 18:27:16 UTC,2014-09-04 16:22:17 UTC
758,Cicutoxin is a cholinergic poison and disrupts the central nervous system. It does this by acting as a non-competitive antagonist at the GABA receptor. (L1232),L1232 - Wikipedia. Cicutoxin. Last Updated 19 July 2009.  (http://en.wikipedia.org/wiki/Cicutoxin),2009-07-23 18:27:17 UTC,2014-09-04 16:05:45 UTC
759,Delphinine acts as an allosteric modulator of voltage gated sodium channels. (L1234),L1234 - Wikipedia. Delphinine. Last Updated 14 June 2009.  (http://en.wikipedia.org/wiki/Delphinine),2009-07-23 18:27:21 UTC,2014-09-04 16:15:20 UTC
760,Aconitine opens voltage-gated sodium channed in the heart and other tissues. (L1235),L1235 - Wikipedia. Aconitine. Last Updated 11 July 2009.  (http://en.wikipedia.org/wiki/Aconitine),2009-07-23 18:27:24 UTC,2014-09-04 16:15:20 UTC
761,Gossypol inhibits protein kinase C. (L1239),L1239 - Wikipedia. Gossypol. Last Updated 9 July 2009.  (http://en.wikipedia.org/wiki/Gossypol),2009-07-23 18:27:28 UTC,2014-09-04 16:09:54 UTC
762,Gossypol inhibits calcineurin. (L1239),L1239 - Wikipedia. Gossypol. Last Updated 9 July 2009.  (http://en.wikipedia.org/wiki/Gossypol),2009-07-23 18:27:30 UTC,2014-09-04 16:11:26 UTC
763,Gossypol binds to calmodulin. (L1239),L1239 - Wikipedia. Gossypol. Last Updated 9 July 2009.  (http://en.wikipedia.org/wiki/Gossypol),2009-07-23 18:27:30 UTC,2014-09-04 16:05:13 UTC
764,Oenanthotoxin is a central nervous system poison and acts as a non-competitive gamma-aminobutyric acid antagonist. (L1243),L1243 - Wikipedia. Oenanthotoxin. Last Updated 20 July 2009.  (http://en.wikipedia.org/wiki/Oenanthotoxin),2009-07-23 18:27:41 UTC,2014-09-04 16:05:45 UTC
765,"Resiniferatoxin activates the vanilloid receptor in a subpopulation of primary afferent sensory neurons involved in nociception (the transmission of physiological pain). RTX causes a novel ion channel in the plasma membrane of sensory neurons, the transient receptor potential vanilloid 1, to become permeable to cations, most particularly the calcium cation. This evokes a powerful irritant effect followed by desensitization and analgesia. (L1244)","A9814 - Bisogno T, Hanus L, De Petrocellis L, Tchilibon S, Ponde DE, Brandi I, Moriello AS, Davis JB, Mechoulam R, Di Marzo V: Molecular targets for cannabidiol and its synthetic analogues: effect on vanilloid VR1 receptors and on the cellular uptake and enzymatic hydrolysis of anandamide. Br J Pharmacol. 2001 Oct;134(4):845-52. (11606325)
L1244 - Wikipedia. Resiniferatoxin. Last Updated 19 May 2009.  (http://en.wikipedia.org/wiki/Resiniferatoxin)",2009-07-23 18:27:45 UTC,2014-09-04 16:16:35 UTC
766,"The burning and painful sensations associated with capsaicin result from its chemical interaction with sensory neurons. Capsaicin, as a member of the vanilloid family, binds to the vanilloid receptor 1 (VR1). VR1 permits cations to pass through the cell membrane and into the cell when activated. The resulting depolarization of the neuron stimulates it to signal the brain. By binding to the VR1 receptor, the capsaicin molecule produces the same sensation that excessive heat or abrasive damage would cause, explaining why the spiciness of capsaicin is described as a burning sensation. (L1246)","A9814 - Bisogno T, Hanus L, De Petrocellis L, Tchilibon S, Ponde DE, Brandi I, Moriello AS, Davis JB, Mechoulam R, Di Marzo V: Molecular targets for cannabidiol and its synthetic analogues: effect on vanilloid VR1 receptors and on the cellular uptake and enzymatic hydrolysis of anandamide. Br J Pharmacol. 2001 Oct;134(4):845-52. (11606325)
L1246 - Wikipedia. Capsaicin. Last Updated 16 July 2009.  (http://en.wikipedia.org/wiki/Capsaicin)",2009-07-23 18:27:45 UTC,2014-09-04 16:16:35 UTC
767,"Digoxin inhibits the Na-K-ATPase membrane pump, resulting in an increase in intracellular sodium and calcium concentrations. Increased intracellular concentrations of calcium may promote activation of contractile proteins (e.g., actin, myosin). Digoxin also acts on the electrical activity of the heart, increasing the slope of phase 4 depolarization, shortening the action potential duration, and decreasing the maximal diastolic potential.","A2790 - Ravikumar A, Arun P, Devi KV, Augustine J, Kurup PA: Isoprenoid pathway and free radical generation and damage in neuropsychiatric disorders. Indian J Exp Biol. 2000 May;38(5):438-46. (11272406)
A2791 - Chen JJ, Wang PS, Chien EJ, Wang SW: Direct inhibitory effect of digitalis on progesterone release from rat granulosa cells. Br J Pharmacol. 2001 Apr;132(8):1761-8. (11309248)
A2792 - Ke YS, Liu ZF, Yang H, Yang T, Huang JS, Rui SB, Cheng GH, Wang YX: Effect of anti-digoxin antiserum on endoxin and membrane ATPase activity in hypoxia-reoxygenation induced myocardial injury. Acta Pharmacol Sin. 2000 Apr;21(4):345-7. (11324464)
A2793 - Kumar AR, Kurup PA: A hypothalamic digoxin mediated model for conscious and subliminal perception. J Neural Transm. 2001;108(7):855-68. (11515751)
A2794 - Aizman O, Uhlen P, Lal M, Brismar H, Aperia A: Ouabain, a steroid hormone that signals with slow calcium oscillations. Proc Natl Acad Sci U S A. 2001 Nov 6;98(23):13420-4. Epub 2001 Oct 30. (11687608)
L1247 - Wikipedia. Digoxin. Last Updated 8 July 2009.  (http://en.wikipedia.org/wiki/Digoxin)",2009-07-23 18:27:46 UTC,2014-09-04 16:05:29 UTC
768,"Swainsonine inhibits the activity of glycoside hydrolases, especially N-linked glycosylation. Inhibition of Golgi mannosidase II and other alpha-mannosidases causes the accumulation of atypical hybrid glycoproteins and oligosaccarides because the proper processing cannot occur. This also results in intracellular vacuolization. (L1248, A3092, A3093) ","A3092 - Croom WJ Jr, Hagler WM Jr, Froetschel MA, Johnson AD: The involvement of slaframine and swainsonine in slobbers syndrome: a review. J Anim Sci. 1995 May;73(5):1499-508. (7665382)
A3093 - Broquist HP: The indolizidine alkaloids, slaframine and swainsonine: contaminants in animal forages. Annu Rev Nutr. 1985;5:391-409. (3927948)
L1248 - Wikipedia. Swainsonine. Last Updated 7 July 2009.  (http://en.wikipedia.org/wiki/Swainsonine)",2009-07-23 18:27:46 UTC,2014-09-04 16:23:05 UTC
769,Tutin is a potent antagonist of the glycine receptor. (L1250),L1250 - Wikipedia. Tutin. Last Updated 23 May 2009.  (http://en.wikipedia.org/wiki/Tutin),2009-07-23 18:27:46 UTC,2014-09-04 16:22:17 UTC
770,"Strychnine acts as an antagonist at the inhibitory or strychnine-sensitive glycine receptor, a ligand-gated chloride channel in the spinal cord and the brain. (L1230)","A9784 - Jensen AA, Gharagozloo P, Birdsall NJ, Zlotos DP: Pharmacological characterisation of strychnine and brucine analogues at glycine and alpha7 nicotinic acetylcholine receptors. Eur J Pharmacol. 2006 Jun 6;539(1-2):27-33. Epub 2006 May 9. (16687139)
L1230 - Wikipedia. Strychnine. Last Updated 20 July 2009.  (http://en.wikipedia.org/wiki/Strychnine)",2009-07-23 18:27:48 UTC,2014-09-04 16:22:17 UTC
771,"Grayanotoxins bind to specific sodium ion channels in cell membranes. The grayanotoxins prevent inactivation, leaving excitable cells depolarized. (L1251)",L1251 - Wikipedia. Grayanotoxin. Last Updated 13 September 2009.  (http://en.wikipedia.org/wiki/Grayanotoxin),2009-07-23 18:27:49 UTC,2014-09-04 16:15:20 UTC
772,"Hyoscyamine competes favorably with acetylcholine for binding at muscarinic receptors in the salivary, bronchial, and sweat glands as well as in the eye, heart, and gastrointestinal tract. The actions of hyoscyamine result in a reduction in salivary, bronchial, gastric and sweat gland secretions, mydriasis, cycloplegia, change in heart rate, contraction of the bladder detrusor muscle and of the gastrointestinal smooth muscle, and decreased gastrointestinal motility.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)
L1255 - Wikipedia. Hyoscyamine. Last Updated 10 June 2009.  (http://en.wikipedia.org/wiki/Hyoscyamine)",2009-07-23 18:27:59 UTC,2014-09-04 16:18:45 UTC
773,"Hyoscyamine is an anticholinergic, specifically an antimuscarinic, and works by blocking the action of acetylcholine at parasympathetic sites in smooth muscle, secretory glands, and the central nervous system. (L1255)",L1255 - Wikipedia. Hyoscyamine. Last Updated 10 June 2009.  (http://en.wikipedia.org/wiki/Hyoscyamine),2009-07-23 18:27:59 UTC,2014-09-04 16:18:46 UTC
774,Curare is a non-depolarizing muscle relaxant that acts as a competitive antagonist at the nicotinic acetylcholine receptors. (L1256),L1256 - Wikipedia. Curare. Last Updated 9 June 2009.  (http://en.wikipedia.org/wiki/Curare),2009-07-23 18:28:01 UTC,2014-09-04 16:18:57 UTC
775,"Brodifacoum inhibits the enzyme Vitamin K epoxide reductase. This enzyme is needed for the reconstitution of the vitamin K in its cycle from vitamin K-epoxide, and so brodifacoum steadily decreases the level of active vitamin K in the blood. Vitamin K is required for the synthesis of important substances including prothrombin, which is involved in blood clotting. This disruption becomes increasingly severe until the blood effectively loses any ability to clot. In addition, brodifacoum increases permeability of blood capillaries. The blood plasma and blood itself begins to leak from the blood vessels, causing internal bleeding leading to shock, loss of consciousness, and eventually death. (L1257)",L1257 - Wikipedia. Brodifacoum. Last Updated 22 June 2009.  (http://en.wikipedia.org/wiki/Brodifacoum),2009-07-23 18:28:16 UTC,2014-09-04 16:21:59 UTC
776,"Bromadiolone inhibits the enzyme Vitamin K epoxide reductase. This enzyme is needed for the reconstitution of the vitamin K in its cycle from vitamin K-epoxide, and so bromadiolone steadily decreases the level of active vitamin K in the blood. Vitamin K is required for the synthesis of important substances including prothrombin, which is involved in blood clotting. This disruption becomes increasingly severe until the blood effectively loses any ability to clot. In addition, bromadiolone increases permeability of blood capillaries. The blood plasma and blood itself begins to leak from the blood vessels, causing internal bleeding leading to shock, loss of consciousness, and eventually death. (L1257)",L1257 - Wikipedia. Brodifacoum. Last Updated 22 June 2009.  (http://en.wikipedia.org/wiki/Brodifacoum),2009-07-23 18:28:16 UTC,2014-09-04 16:21:59 UTC
777,"Fumarin inhibits the enzyme Vitamin K epoxide reductase. This enzyme is needed for the reconstitution of the vitamin K in its cycle from vitamin K-epoxide, and so fumarin steadily decreases the level of active vitamin K in the blood. Vitamin K is required for the synthesis of important substances including prothrombin, which is involved in blood clotting. This disruption becomes increasingly severe until the blood effectively loses any ability to clot. In addition, fumarin increases permeability of blood capillaries. The blood plasma and blood itself begins to leak from the blood vessels, causing internal bleeding leading to shock, loss of consciousness, and eventually death. (L1257)",L1257 - Wikipedia. Brodifacoum. Last Updated 22 June 2009.  (http://en.wikipedia.org/wiki/Brodifacoum),2009-07-23 18:28:17 UTC,2014-09-04 16:21:59 UTC
778,"Difenacoum inhibits the enzyme Vitamin K epoxide reductase. This enzyme is needed for the reconstitution of the vitamin K in its cycle from vitamin K-epoxide, and so difenacoum steadily decreases the level of active vitamin K in the blood. Vitamin K is required for the synthesis of important substances including prothrombin, which is involved in blood clotting. This disruption becomes increasingly severe until the blood effectively loses any ability to clot. In addition, difenacoum increases permeability of blood capillaries. The blood plasma and blood itself begins to leak from the blood vessels, causing internal bleeding leading to shock, loss of consciousness, and eventually death. (L1257)",L1257 - Wikipedia. Brodifacoum. Last Updated 22 June 2009.  (http://en.wikipedia.org/wiki/Brodifacoum),2009-07-23 18:28:17 UTC,2014-09-04 16:21:59 UTC
779,"Phenprocoumon inhibits vitamin K reductase, resulting in depletion of the reduced form of vitamin K (vitamin KH2). As vitamin K is a cofactor for the carboxylation of glutamate residues on the N-terminal regions of vitamin K-dependent proteins, this limits the gamma-carboxylation and subsequent activation of the vitamin K-dependent coagulant proteins. The synthesis of vitamin K-dependent coagulation factors II, VII, IX, and X and anticoagulant proteins C and S is inhibited. Depression of three of the four vitamin K-dependent coagulation factors (factors II, VII, and X) results in decreased prothrombin levels and a decrease in the amount of thrombin generated and bound to fibrin. This reduces the thrombogenicity of clots.","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)",2009-07-23 18:28:17 UTC,2014-09-04 16:21:59 UTC
780,"Acenocoumarol inhibits vitamin K reductase, resulting in depletion of the reduced form of vitamin K (vitamin KH2). As vitamin K is a cofactor for the carboxylation of glutamate residues on the N-terminal regions of vitamin K-dependent proteins, this limits the gamma-carboxylation and subsequent activation of the vitamin K-dependent coagulant proteins. The synthesis of vitamin K-dependent coagulation factors II, VII, IX, and X and anticoagulant proteins C and S is inhibited. Depression of three of the four vitamin K-dependent coagulation factors (factors II, VII, and X) results in decresed prothrombin levels and a decrease in the amount of thrombin generated and bound to fibrin. This reduces the thrombogenicity of clots.","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)
A2542 - Montes R, Ruiz de Gaona E, Martinez-Gonzalez MA, Alberca I, Hermida J: The c.-1639G > A polymorphism of the VKORC1 gene is a major determinant of the response to acenocoumarol in anticoagulated patients. Br J Haematol. 2006 Apr;133(2):183-7. (16611310)
A2543 - Bodin L, Verstuyft C, Tregouet DA, Robert A, Dubert L, Funck-Brentano C, Jaillon P, Beaune P, Laurent-Puig P, Becquemont L, Loriot MA: Cytochrome P450 2C9 (CYP2C9) and vitamin K epoxide reductase (VKORC1) genotypes as determinants of acenocoumarol sensitivity. Blood. 2005 Jul 1;106(1):135-40. Epub 2005 Mar 24. (15790782)
A2544 - Gonzalez-Conejero R, Corral J, Roldan V, Ferrer F, Sanchez-Serrano I, Sanchez-Blanco JJ, Marin F, Vicente V: The genetic interaction between VKORC1 c1173t and calumenin a29809g modulates the anticoagulant response of acenocoumarol. J Thromb Haemost. 2007 Aug;5(8):1701-6. Epub 2007 May 21. (17596133)
A2545 - Schalekamp T, Brasse BP, Roijers JF, Chahid Y, van Geest-Daalderop JH, de Vries-Goldschmeding H, van Wijk EM, Egberts AC, de Boer A: VKORC1 and CYP2C9 genotypes and acenocoumarol anticoagulation status: interaction between both genotypes affects overanticoagulation. Clin Pharmacol Ther. 2006 Jul;80(1):13-22. (16815313)
A2546 - Rettie AE, Farin FM, Beri NG, Srinouanprachanh SL, Rieder MJ, Thijssen HH: A case study of acenocoumarol sensitivity and genotype-phenotype discordancy explained by combinations of polymorphisms in VKORC1 and CYP2C9. Br J Clin Pharmacol. 2006 Nov;62(5):617-20. Epub 2006 Jul 21. (16869821)",2009-07-23 18:28:18 UTC,2014-09-04 16:21:59 UTC
781,"Phenindione inhibits vitamin K reductase, resulting in depletion of the reduced form of vitamin K (vitamin KH2). As vitamin K is a cofactor for the carboxylation of glutamate residues on the N-terminal regions of vitamin K-dependent proteins, this limits the gamma-carboxylation and subsequent activation of the vitamin K-dependent coagulant proteins. The synthesis of vitamin K-dependent coagulation factors II, VII, IX, and X and anticoagulant proteins C and S is inhibited. Depression of three of the four vitamin K-dependent coagulation factors (factors II, VII, and X) results in decreased prothrombin levels and a decrease in the amount of thrombin generated and bound to fibrin. This reduces the thrombogenicity of clots.","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)
A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-23 18:28:18 UTC,2014-09-04 16:21:59 UTC
782,"Anabasine is a nicotinic acetylcholine receptor agonist. In high doses, it produces a depolarizing block of nerve transmission, which can cause symptoms similar to those of nicotine poisoning and, ultimately, death by asystole. (L1257)",L1257 - Wikipedia. Brodifacoum. Last Updated 22 June 2009.  (http://en.wikipedia.org/wiki/Brodifacoum),2009-07-23 18:28:18 UTC,2014-09-04 16:18:57 UTC
783,"Ricin works by penetrating the cells of the body and inhibiting cell protein synthesis. By attaching to a carbohydrate chain on the cell surface, the ricin molecule anchors itself to the cell, is subsequently engulfed and enters the inner parts of the cell where it reacts with the 60S ribosomal subunit and interferes with the normal protein synthesis process of the cell. Without these proteins, cells cannot survive. The severity of the effects of ricin poisoning vary on the means of exposure to the substance. ",L1034 - Wikipedia. Ricin. Last Updated 5 August 2009. (http://en.wikipedia.org/wiki/Ricin),2009-07-23 18:28:22 UTC,2014-09-04 16:18:49 UTC
784,"Warfarin inhibits vitamin K reductase, resulting in depletion of the reduced form of vitamin K (vitamin KH2). As vitamin K is a cofactor for the carboxylation of glutamate residues on the N-terminal regions of vitamin K-dependent proteins, this limits the gamma-carboxylation and subsequent activation of the vitamin K-dependent coagulant proteins. The synthesis of vitamin K-dependent coagulation factors II, VII, IX, and X and anticoagulant proteins C and S is inhibited. Depression of three of the four vitamin K-dependent coagulation factors (factors II, VII, and X) results in decresed prothrombin levels and a decrease in the amount of thrombin generated and bound to fibrin. This reduces the thrombogenicity of clots.","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)
A2757 - Zhu Y, Shennan M, Reynolds KK, Johnson NA, Herrnberger MR, Valdes R Jr, Linder MW: Estimation of warfarin maintenance dose based on VKORC1 (-1639 G>A) and CYP2C9 genotypes. Clin Chem. 2007 Jul;53(7):1199-205. Epub 2007 May 17. (17510308)
A2758 - Yin T, Miyata T: Warfarin dose and the pharmacogenomics of CYP2C9 and VKORC1 - rationale and perspectives. Thromb Res. 2007;120(1):1-10. Epub 2006 Dec 11. (17161452)
A2759 - Fukuda T, Tanabe T, Ohno M, Tougou K, Fujio Y, Azuma J, Yamamoto I, Takeda A: Warfarin dose requirement for patients with both VKORC1 3673A/A and CYP2C9*3/*3 genotypes. Clin Pharmacol Ther. 2006 Nov;80(5):553-4. (17112813)
A2760 - Osman A, Enstrom C, Lindahl TL: Plasma S/R ratio of warfarin co-varies with VKORC1 haplotype. Blood Coagul Fibrinolysis. 2007 Apr;18(3):293-6. (17413769)
A2761 - Limdi NA, McGwin G, Goldstein JA, Beasley TM, Arnett DK, Adler BK, Baird MF, Acton RT: Influence of CYP2C9 and VKORC1 1173C/T genotype on the risk of hemorrhagic complications in African-American and European-American patients on warfarin. Clin Pharmacol Ther. 2008 Feb;83(2):312-21. Epub 2007 Jul 25. (17653141)",2009-07-23 18:30:31 UTC,2014-09-04 16:21:59 UTC
785,"Ciguatoxin lowers the threshold for opening voltage-gated sodium channels in synapses of the nervous system. The effect of opening a sodium channel will cause depolarization, which could sequentially cause paralysis, heart contraction, and changing the senses of hearing and cold. Because it does not cross the blood brain barrier (BBB), ciguatoxins solely affect the peripheral nervous system (PNS). (L994, A301)","A301 - Lombet A, Bidard JN, Lazdunski M: Ciguatoxin and brevetoxins share a common receptor site on the neuronal voltage-dependent Na+ channel. FEBS Lett. 1987 Jul 27;219(2):355-9. (2440718)
L994 - Wikipedia. Ciguatoxin. Last Updated 18 February 2009. (http://en.wikipedia.org/wiki/Ciguatoxin)",2009-08-04 16:14:18 UTC,2014-09-04 16:15:20 UTC
786,Myrcene inhibts Tyrosinase.,"A2448 - Matsuura R, Ukeda H, Sawamura M: Tyrosinase inhibitory activity of citrus essential oils. J Agric Food Chem. 2006 Mar 22;54(6):2309-13. (16536612)",2009-08-04 20:35:36 UTC,2014-09-04 16:11:32 UTC
787,Benzyl acetate binds to acetylcholinesterase.,"A346 - Dafforn A, Anderson M, Ash D, Campagna J, Daniel E, Horwood R, Kerr P, Rych G, Zappitelli F: The mode of binding of potential transition-state analogs to acetylcholinesterase. Biochim Biophys Acta. 1977 Oct 13;484(2):375-85. (20963)",2009-08-05 15:50:40 UTC,2014-09-04 16:14:04 UTC
788,"2,4-DNT and its metabolites may covalently bind to DNA. (L276)","L276 - ATSDR - Agency for Toxic Substances and Disease Registry (1998). Toxicological profile for 2,4-,and 2,6-dinitrotoluene. U.S. Public Health Service in collaboration with U.S. Environmental Protection Agency (EPA).  (http://www.atsdr.cdc.gov/toxprofiles/tp109.html)",2009-08-06 21:32:03 UTC,2014-09-29 19:32:37 UTC
